booking_id,guest_name,email,listing_id,listing_city,checkin_date,checkout_date,nights,price_per_night,total_price,payment_status,review_score,is_cancelled
BKG-014091,  Joel Murphy  ,katherine87@yahoo.com,1002,los angeles,2024-05-08,2025-02-23,291,123.89,36051.99,PAID,6.0,
BKG-004003,Mark Scott,flemingjoe@gmail.com,1069,New York,2024-07-10,2025-01-13,187,329.68,61650.16,PAID,5.0,False
BKG-009672,  Jeremy Smith  ,josephwalker@yahoo.com,1071,new york,2024-01-31,2025-02-24,390,499.89,194957.1,PENDING,6.0,False
BKG-001510,Jeff Howard,paul23@gmail.com,1048,nyc,2023-11-09,2024-01-06,58,367.88,21337.04,UNPAID,6.0,False
BKG-019532,kimberly walker,fgibbs@johnson.info,1022,San Francisco,2025-04-01,2025-04-15,14,499.69,6995.66,UNPAID,3.0,False
BKG-005687,julie walter,pricekyle@mcdaniel.org,1054,Los Angeles,2025-01-18,2025-03-03,44,304.05,13378.2,PAID,2.0,False
BKG-019581,  David Myers  ,christinegriffin@hotmail.com,1067,Los Angeles,2025-01-23,2025-03-15,51,445.66,22728.66,PAID,6.0,
BKG-011068,Sheila Leach,danielle05@gmail.com,1048,Los Angeles,2023-09-10,2025-01-08,486,395.55,192237.30000000002,UNPAID,3.0,False
BKG-018783,PAUL ROWLAND,jonathan83@bass.com,1077,NYC,2024-04-11,2024-06-27,77,487.85,37564.450000000004,PAID,6.0,False
BKG-007900,michael wood,jeffrey76@chen.biz,1003,NYC,2024-10-03,2025-04-21,200,286.78,57355.99999999999,UNPAID,5.0,False
BKG-008285,Mark White,wwise@hotmail.com,1050,new york,2024-07-08,2024-08-06,29,324.59,9413.109999999999,PENDING,6.0,True
BKG-014525,misty fernandez,randy41@park.com,1038,Los Angeles,2025-03-27,2025-04-06,10,262.55,2625.5,PENDING,6.0,False
BKG-004293,jennifer rogers,jimmy43@yahoo.com,1051,los angeles,2025-03-20,2025-04-06,17,458.09,7787.53,PAID,5.0,True
BKG-004037,  Jeffrey Bullock  ,hensleyjacob@davis.net,1061,LA,2025-03-30,2025-05-14,45,75.29,3388.05,PENDING,3.0,True
BKG-007167,DR. TRICIA PINEDA,millerronald@best.com,1035,San Francisco,2023-12-09,2024-04-27,140,347.31,48623.4,UNPAID,6.0,True
BKG-001027,  Cassandra Cline  ,jessica39@hotmail.com,1056,NYC,2025-03-02,2025-03-20,18,221.07,3979.2599999999998,PENDING,6.0,True
BKG-013734,Amy Hudson,wilsonryan@hotmail.com,1050,New York,2024-03-03,2024-10-18,229,470.26,107689.54,UNPAID,6.0,False
BKG-006529,erika myers,urodriguez@jefferson-hebert.com,1029,San Francisco,2023-09-22,2023-12-14,83,239.69,19894.27,UNPAID,1.0,True
BKG-008413,  Nicole Murphy  ,vmccall@jones.com,1092,NYC,2025-01-11,2025-03-05,53,94.4,5003.200000000001,PENDING,6.0,False
BKG-017988,Derek Garza,vhaley@gmail.com,1066,San Fran,2024-03-01,2024-09-15,198,363.81,72034.38,PAID,3.0,
BKG-004510,Douglas Clark,scott98@cruz-anderson.biz,1095,los angeles,2024-07-26,2024-10-02,68,429.54,29208.72,PAID,6.0,False
BKG-003050,MICHELLE YOUNG,jeffreysandoval@hotmail.com,1087,los angeles,2023-08-31,2025-05-09,617,301.55,186056.35,PENDING,6.0,False
BKG-010884,david hicks,ian89@yahoo.com,1033,los angeles,2024-07-09,2025-05-01,296,50.73,15016.08,PAID,6.0,True
BKG-010480,MELISSA ANDREWS,timothysosa@koch.com,1060,nyc,2024-02-01,2025-04-18,442,478.59,211536.78,PAID,6.0,True
BKG-011734,EMILY SHARP,joseph44@yahoo.com,1034,nyc,2025-01-07,2025-03-15,67,443.39,29707.129999999997,PENDING,6.0,
BKG-006145,DREW MILLER,hcurtis@hutchinson-zavala.biz,1071,SF,2023-11-27,2024-08-02,249,84.54,21050.460000000003,UNPAID,5.0,True
BKG-016726,margaret preston,richardsontiffany@nguyen-west.com,1043,SF,2025-02-11,2025-03-31,48,431.9,20731.199999999997,PAID,6.0,False
BKG-011758,  Megan Owen  ,xrivera@fox-williams.com,1097,New York,2024-05-29,2024-11-03,158,290.87,45957.46,UNPAID,4.0,
BKG-013804,  Angela Ramirez  ,morrowrandall@moore.org,1060,SF,2024-10-23,2025-01-24,93,142.35,13238.55,UNPAID,2.0,
BKG-019365,  Regina Thornton  ,xreyes@gmail.com,1025,SF,2025-02-27,2025-04-06,38,190.23,7228.74,PAID,6.0,True
BKG-011802,Samantha Ryan,ghahn@hotmail.com,1061,LA,2024-09-15,2024-12-13,89,495.99,44143.11,PENDING,5.0,True
BKG-015784,CHRISTOPHER COLE JR.,kerryprice@yahoo.com,1006,LA,2024-06-28,2024-09-11,75,155.6,11670.0,UNPAID,6.0,True
BKG-007221,isaac steele,walkerjulie@gmail.com,1070,San Francisco,2025-03-04,2025-03-19,15,275.98,4139.700000000001,UNPAID,3.0,False
BKG-015191,Darren Smith,steven22@gmail.com,1081,LA,2024-04-22,2024-11-23,215,271.36,58342.4,UNPAID,2.0,False
BKG-018650,Amber Walker,meyerashley@bradley.com,1098,LA,2023-11-17,2024-11-01,350,241.45,84507.5,UNPAID,6.0,True
BKG-010881,Christopher Gibson,gregoryperez@johnson.com,1009,new york,2024-09-28,2025-01-11,105,187.38,19674.899999999998,PAID,6.0,False
BKG-005635,CAMERON BARTON,leepaul@hotmail.com,1014,New York,2023-12-10,2024-02-09,61,312.43,19058.23,PENDING,3.0,True
BKG-017865,  Teresa Brooks  ,wrightjulie@medina.biz,1032,LA,2023-10-16,2025-01-07,449,354.54,159188.46000000002,UNPAID,5.0,
BKG-015440,  Jennifer Rose  ,evega@brady-compton.org,1098,Los Angeles,2024-09-11,2025-05-16,247,253.13,62523.11,PAID,6.0,False
BKG-003461,Shannon Walsh,vbowman@yahoo.com,1054,los angeles,2024-04-21,2025-04-30,374,457.75,171198.5,PENDING,2.0,False
BKG-015684,  Madison Harris  ,carly97@hotmail.com,1029,los angeles,2024-11-08,2025-04-04,147,154.74,22746.780000000002,UNPAID,6.0,False
BKG-015469,CHRISTOPHER BAKER,williamsdwayne@hughes-fernandez.org,1039,Los Angeles,2023-12-25,2024-10-29,309,496.75,153495.75,PAID,1.0,True
BKG-004031,Peter Vega,vlopez@miller.biz,1067,Los Angeles,2023-06-02,2024-10-27,513,354.97,182099.61000000002,PENDING,6.0,True
BKG-017757,scott hopkins,kelly21@cooper.org,1023,new york,2023-06-25,2024-07-02,373,51.19,19093.87,PAID,4.0,True
BKG-009897,Ashley Ingram,andrewsmargaret@gmail.com,1040,los angeles,2023-11-26,2024-09-02,281,177.93,49998.33,PENDING,6.0,
BKG-006626,MARC TODD,hmiller@carrillo-sullivan.info,1070,nyc,2023-08-11,2024-07-16,340,348.76,118578.4,PENDING,6.0,False
BKG-010322,Michelle Brown,deannaelliott@gmail.com,1089,nyc,2023-06-24,2024-06-29,371,104.41,38736.11,PENDING,1.0,False
BKG-015412,  Carl Turner  ,mckinneynicole@rice.org,1050,NYC,2024-01-30,2024-09-24,238,304.22,72404.36,PENDING,5.0,True
BKG-007302,COURTNEY CURTIS,stephanie73@vaughan-fry.net,1090,new york,2024-10-27,2025-03-07,131,179.03,23452.93,PENDING,6.0,False
BKG-007563,  Dr. Jon Wilson  ,garciajon@williams-thomas.net,1088,NYC,2023-08-07,2025-05-10,642,272.39,174874.38,PAID,3.0,False
BKG-012443,michael rojas,aguilarangela@hotmail.com,1072,nyc,2024-01-04,2024-02-15,42,223.33,9379.86,PENDING,5.0,
BKG-005270,matthew wright,kendra38@gmail.com,1014,NYC,2023-08-06,2024-02-14,192,96.42,18512.64,PENDING,6.0,False
BKG-015398,zachary rivera,martinezmichael@boyle.org,1079,NYC,2024-10-19,2024-12-23,65,447.19,29067.35,PAID,1.0,False
BKG-013176,PETER MURRAY,vegaandrea@hotmail.com,1061,NYC,2024-01-13,2024-09-03,234,111.72,26142.48,PAID,6.0,True
BKG-004518,JESSICA SAUNDERS,sarahfisher@stanley.com,1008,New York,2024-09-20,2025-03-22,183,303.66,55569.780000000006,PAID,2.0,False
BKG-001311,CHARLES LESTER,tommy77@yahoo.com,1065,los angeles,2025-03-07,2025-03-26,19,400.46,7608.74,PENDING,6.0,True
BKG-007806,  Paul Garcia  ,bianca77@hotmail.com,1057,NYC,2024-05-12,2025-01-10,243,234.37,56951.91,UNPAID,6.0,True
BKG-000345,rebecca horton,yhughes@edwards.com,1007,SF,2023-09-26,2025-01-20,482,186.76,90018.31999999999,PAID,1.0,False
BKG-009659,  Megan Campbell  ,danielellis@gmail.com,1035,los angeles,2023-11-12,2024-02-06,86,440.01,37840.86,PAID,6.0,True
BKG-010305,Anthony Klein,ellenwells@flores-huff.info,1020,LA,2024-07-13,2025-03-10,240,435.21,104450.4,PAID,1.0,True
BKG-010168,  Ann Patel  ,mmontgomery@wells.info,1094,los angeles,2023-08-21,2024-06-22,306,325.16,99498.96,UNPAID,6.0,
BKG-008898,logan harrison,wilsonelizabeth@velez.com,1016,SF,2025-03-23,2025-04-01,9,56.53,508.77,PENDING,3.0,True
BKG-011698,  Ryan Reyes  ,robertselizabeth@taylor-dunn.com,1023,New York,2025-01-20,2025-02-18,29,426.44,12366.76,PENDING,6.0,False
BKG-004580,CHARLES SANDOVAL,mpatterson@hotmail.com,1019,SF,2023-08-18,2025-05-04,625,240.73,150456.25,PENDING,6.0,True
BKG-009938,Michael Harris,bpark@brown.com,1001,New York,2024-11-27,2025-03-09,102,342.67,34952.340000000004,PENDING,6.0,False
BKG-007264,charles smith,archersteven@byrd-bonilla.net,1082,LA,2023-05-11,2025-01-17,617,210.27,129736.59000000001,PENDING,6.0,True
BKG-008299,Leah Waller,joannbrown@jacobs.biz,1046,SF,2023-11-24,2024-10-02,313,247.57,77489.41,PAID,6.0,True
BKG-014299,  Charles Wiley  ,hosborn@gutierrez.com,1087,New York,2024-06-27,2024-10-04,99,256.65,25408.35,PAID,6.0,False
BKG-016316,alexis lewis,calvin67@gmail.com,1019,San Francisco,2023-07-09,2024-09-09,428,126.11,53975.08,PAID,6.0,True
BKG-002855,  Luke Smith  ,pspears@yahoo.com,1018,new york,2025-03-27,2025-05-07,41,196.14,8041.74,UNPAID,6.0,
BKG-009362,Michele Joyce,toddboyer@hotmail.com,1062,new york,2024-03-14,2024-07-12,120,383.46,46015.2,PENDING,5.0,True
BKG-014148,  Cynthia Smith MD  ,holmeschristopher@yahoo.com,1075,LA,2024-08-22,2025-01-31,162,77.83,12608.46,PAID,6.0,False
BKG-010522,Sharon Wagner,bryantdavid@yahoo.com,1051,nyc,2023-12-08,2024-06-04,179,339.18,60713.22,UNPAID,1.0,False
BKG-009801,RYAN HAYES,hinesjulie@hotmail.com,1030,SF,2023-08-16,2025-02-24,558,175.89,98146.62,UNPAID,5.0,
BKG-003113,ANDREW CHANDLER,elizabeth11@gmail.com,1047,los angeles,2024-06-24,2024-11-17,146,209.1,30528.6,PENDING,6.0,True
BKG-008765,ROBERT JONES,garciadonald@hotmail.com,1094,nyc,2025-01-01,2025-03-05,63,132.75,8363.25,PENDING,6.0,False
BKG-018794,JON BENSON,smithjake@gmail.com,1088,San Fran,2023-06-12,2025-03-07,634,339.01,214932.34,UNPAID,6.0,True
BKG-015806,Judith Rollins,cassandra68@rowe-cannon.com,1005,los angeles,2024-11-08,2025-01-20,73,183.51,13396.23,PENDING,5.0,False
BKG-005841,  Jacob Turner  ,gpadilla@gmail.com,1055,San Fran,2024-12-23,2025-03-29,96,153.67,14752.32,UNPAID,3.0,True
BKG-000210,Erika Cruz,fhughes@hotmail.com,1030,los angeles,2025-03-21,2025-05-14,54,370.24,19992.96,UNPAID,6.0,
BKG-006293,THOMAS JACOBS,jenniferray@newton.com,1075,San Fran,2024-10-01,2024-10-12,11,400.27,4402.969999999999,PAID,6.0,False
BKG-019066,MARISSA WILSON,austinbrown@kim.net,1082,Los Angeles,2025-01-24,2025-03-20,55,199.67,10981.849999999999,UNPAID,6.0,False
BKG-004186,michele horton,jonesbryan@hotmail.com,1056,los angeles,2024-12-06,2025-04-08,123,461.67,56785.41,PAID,6.0,False
BKG-009298,Kimberly Cisneros,james76@yahoo.com,1074,New York,2024-11-29,2024-12-28,29,361.34,10478.859999999999,PENDING,2.0,
BKG-016012,Madison Keller,kfernandez@hotmail.com,1049,LA,2023-07-16,2024-03-02,230,309.84,71263.2,PAID,4.0,False
BKG-008858,  Tyrone Bell  ,sextonchristopher@yahoo.com,1085,los angeles,2024-01-25,2024-06-05,132,387.68,51173.76,PAID,1.0,
BKG-003352,diane skinner,helen14@yahoo.com,1048,San Francisco,2023-10-16,2024-10-01,351,135.11,47423.61000000001,PAID,1.0,True
BKG-019646,  Lindsay Evans  ,yle@gmail.com,1044,los angeles,2024-02-27,2024-07-07,131,374.16,49014.96000000001,PENDING,6.0,False
BKG-018717,David Lewis,gsmith@yahoo.com,1068,LA,2023-05-14,2023-10-01,140,245.4,34356.0,PAID,6.0,True
BKG-007658,Steven Howard,mbailey@gmail.com,1087,San Fran,2024-02-20,2025-01-26,341,286.25,97611.25,PENDING,6.0,True
BKG-011526,Brian Grant,wudavid@stephens.info,1047,New York,2024-09-28,2025-05-17,231,112.97,26096.07,PAID,6.0,True
BKG-010406,courtney patterson,ericpatterson@fernandez.org,1000,new york,2024-10-19,2025-02-12,116,144.43,16753.88,PENDING,6.0,True
BKG-011096,Christopher Turner,zachary88@yahoo.com,1019,new york,2024-06-21,2024-11-23,155,285.35,44229.25,PENDING,6.0,False
BKG-003941,Cheryl Harvey,campbelljoseph@yahoo.com,1100,nyc,2023-04-25,2023-09-13,141,273.47,38559.270000000004,UNPAID,1.0,
BKG-010444,Robert Torres,dgonzales@yahoo.com,1086,San Fran,2023-12-06,2025-03-30,480,346.42,166281.6,PENDING,6.0,
BKG-018542,patricia crawford,jean09@brooks-jones.info,1030,new york,2025-03-25,2025-04-23,29,335.47,9728.630000000001,PENDING,4.0,True
BKG-016307,  Bryan James  ,harrisonmichelle@hotmail.com,1084,SF,2024-01-20,2024-06-13,145,470.07,68160.15,PENDING,6.0,False
BKG-011206,  Melanie Sutton  ,anthony57@gmail.com,1100,SF,2025-03-04,2025-03-23,19,64.15,1218.8500000000001,PENDING,6.0,True
BKG-004577,Paul Barnes,bartlettdaniel@hernandez.info,1018,New York,2024-02-03,2024-02-17,14,210.44,2946.16,PAID,2.0,
BKG-014313,derrick oneill,matthew74@gmail.com,1012,San Francisco,2023-12-28,2024-12-27,365,91.98,33572.700000000004,PAID,4.0,
BKG-000941,LONNIE GONZALES,bthomas@thomas.com,1032,NYC,2023-09-01,2024-10-02,397,226.09,89757.73,PENDING,5.0,False
BKG-002528,THOMAS WILLIAMS,sarah04@carter.biz,1039,San Fran,2023-05-31,2024-09-28,486,239.52,116406.72,UNPAID,6.0,
BKG-003714,  Nicholas Ortega  ,edward07@keller-miller.com,1056,San Fran,2023-05-26,2024-04-23,333,205.94,68578.02,PAID,4.0,True
BKG-006649,jeffrey vazquez,ismith@hotmail.com,1065,LA,2024-02-28,2024-08-23,177,279.77,49519.28999999999,PENDING,5.0,True
BKG-006075,TRAVIS HILL,nbarnes@hotmail.com,1021,Los Angeles,2024-03-13,2025-05-17,430,446.48,191986.4,PENDING,4.0,True
BKG-005394,  Lisa Ford  ,nathanwilkinson@hotmail.com,1065,SF,2024-08-13,2024-09-07,25,272.4,6809.999999999999,PENDING,3.0,
BKG-016710,ISABEL FOSTER,roger64@richards.biz,1034,Los Angeles,2023-06-06,2024-04-03,302,172.22,52010.44,PENDING,6.0,False
BKG-001297,  Mr. Ryan Obrien MD  ,zjackson@robinson.biz,1050,New York,2023-11-20,2024-05-31,193,411.85,79487.05,PAID,6.0,
BKG-018103,LUIS RICE,fyang@hotmail.com,1065,San Fran,2024-07-14,2025-05-10,300,485.32,145596.0,PAID,6.0,False
BKG-015211,Kristy Barrett,susansmith@gmail.com,1070,los angeles,2023-07-31,2024-03-02,215,52.23,11229.449999999999,UNPAID,6.0,True
BKG-002145,Christopher Ellis,juliepayne@gmail.com,1005,NYC,2023-12-29,2024-07-26,210,205.77,43211.700000000004,PENDING,2.0,
BKG-006346,Brandon Brown,ymueller@hotmail.com,1100,NYC,2023-10-28,2024-02-14,109,430.06,46876.54,PAID,1.0,False
BKG-005478,Amy Whitaker,mariaramirez@atkinson.com,1096,San Francisco,2024-05-22,2024-06-29,38,230.53,8760.14,PENDING,4.0,True
BKG-002988,  Amanda Riley  ,xkrueger@gmail.com,1008,new york,2023-09-07,2023-11-10,64,163.77,10481.28,PENDING,1.0,True
BKG-016330,stephen gates,markjohnson@hamilton.biz,1018,SF,2023-12-17,2025-03-10,449,248.57,111607.93,UNPAID,4.0,False
BKG-006978,Michael Lewis,wangsteven@sanders.com,1069,LA,2023-07-28,2024-02-27,214,456.27,97641.78,PENDING,4.0,False
BKG-013602,chelsea maldonado,douglas55@gmail.com,1008,San Fran,2024-01-28,2024-10-12,258,185.78,47931.24,PENDING,6.0,True
BKG-018928,Amy Sawyer,amber66@burton.net,1017,San Francisco,2023-08-22,2023-12-20,120,353.23,42387.600000000006,PENDING,1.0,True
BKG-002828,Thomas Miller,tdaniels@cole.net,1052,NYC,2024-05-16,2024-08-15,91,298.49,27162.59,UNPAID,3.0,True
BKG-013071,  Wendy Barber  ,hboone@yahoo.com,1082,Los Angeles,2023-07-29,2024-08-15,383,312.34,119626.21999999999,PAID,6.0,False
BKG-006453,Ashley Jones,martinsteven@yahoo.com,1008,nyc,2023-06-01,2025-01-27,606,284.52,172419.12,PENDING,6.0,True
BKG-018633,JOSHUA PRICE,ariasashley@hotmail.com,1099,NYC,2023-11-03,2024-05-05,184,458.16,84301.44,PAID,4.0,
BKG-001124,APRIL ALVAREZ,marcusfernandez@hotmail.com,1020,nyc,2024-09-22,2024-10-29,37,253.08,9363.960000000001,PENDING,1.0,
BKG-014636,TREVOR BREWER,meganwilliams@yahoo.com,1011,San Fran,2023-08-19,2023-09-29,41,372.76,15283.16,PENDING,6.0,
BKG-011420,jose cox,schneiderjeanette@gmail.com,1059,San Francisco,2024-02-25,2024-05-17,82,355.03,29112.46,PENDING,6.0,True
BKG-005654,  Sean Mcmillan  ,margaretmorgan@butler.com,1062,NYC,2025-02-13,2025-04-22,68,396.3,26948.4,PAID,6.0,True
BKG-012414,Daniel Dennis,zpoole@gonzales.net,1097,LA,2023-11-28,2024-02-05,69,378.0,26082.0,PAID,6.0,True
BKG-005979,Tonya Cardenas,iblevins@davis.com,1084,San Fran,2023-07-15,2023-12-02,140,99.59,13942.6,UNPAID,6.0,True
BKG-002196,samantha smith,butleremily@rodriguez.com,1029,San Fran,2023-10-03,2024-07-19,290,97.54,28286.600000000002,UNPAID,6.0,False
BKG-004525,ROBIN HINES,sharrison@gmail.com,1076,Los Angeles,2024-09-06,2024-12-28,113,381.59,43119.67,UNPAID,4.0,False
BKG-019438,BRANDON HOWARD,cpowers@rhodes-benjamin.net,1002,New York,2024-12-19,2025-01-28,40,250.58,10023.2,PENDING,1.0,
BKG-009361,Bianca Butler PhD,millerdouglas@yahoo.com,1021,new york,2023-09-23,2024-04-06,196,445.41,87300.36,PAID,1.0,True
BKG-006244,MICHAEL CARROLL,seanvalenzuela@yahoo.com,1057,nyc,2023-07-23,2023-12-11,141,487.34,68714.94,PAID,6.0,True
BKG-001359,Kristina Bauer,gary91@burnett.com,1078,nyc,2023-08-31,2025-03-26,573,184.26,105580.98,PENDING,6.0,False
BKG-012044,KIMBERLY RODRIGUEZ,dakotaedwards@stevens.org,1003,SF,2025-03-16,2025-04-16,31,455.92,14133.52,PENDING,4.0,True
BKG-004560,jennifer thomas,jhenry@gmail.com,1052,nyc,2024-08-28,2024-11-12,76,471.12,35805.12,PENDING,5.0,
BKG-009492,  Kathleen Snow  ,perezjon@yahoo.com,1039,Los Angeles,2023-10-08,2024-03-06,150,466.47,69970.5,PENDING,5.0,False
BKG-017753,  Michael Black  ,rosekenneth@yahoo.com,1042,Los Angeles,2024-09-26,2025-02-27,154,122.73,18900.420000000002,PAID,1.0,False
BKG-008608,marilyn jordan,maryjohnson@hotmail.com,1075,Los Angeles,2025-01-02,2025-04-07,95,394.22,37450.9,PENDING,1.0,True
BKG-009871,  Carrie Cunningham  ,rangelwilliam@gmail.com,1012,NYC,2024-01-01,2024-10-16,289,396.79,114672.31000000001,PENDING,1.0,False
BKG-004101,  Paula Phillips  ,williamsmichael@yahoo.com,1078,SF,2024-05-05,2025-02-05,276,452.19,124804.44,UNPAID,2.0,False
BKG-007315,CHERYL FISCHER,brittneybaird@hotmail.com,1026,los angeles,2024-08-10,2025-04-27,260,441.71,114844.59999999999,PENDING,3.0,True
BKG-007801,  Theresa West  ,carneystephanie@yahoo.com,1005,los angeles,2024-10-12,2025-05-08,208,355.76,73998.08,PENDING,6.0,True
BKG-016325,AMY HILL,danastafford@yahoo.com,1098,LA,2023-11-18,2024-09-12,299,456.56,136511.44,PENDING,5.0,False
BKG-018118,HANNAH JIMENEZ,castilloshawn@bell.com,1005,San Francisco,2023-12-30,2024-08-24,238,100.93,24021.34,PAID,2.0,False
BKG-018590,Kellie Brown,michele33@williams.biz,1073,New York,2024-08-07,2025-04-16,252,91.21,22984.92,PENDING,6.0,False
BKG-013827,  Kristin Hart  ,hernandezronald@hotmail.com,1019,Los Angeles,2024-09-29,2025-03-26,178,240.93,42885.54,UNPAID,2.0,False
BKG-010961,TAMI NELSON,zbrowning@yahoo.com,1081,San Francisco,2024-10-17,2025-04-10,175,337.19,59008.25,PAID,6.0,True
BKG-019902,TIMOTHY CONTRERAS,stephanie46@meyer.com,1011,San Fran,2024-07-10,2025-01-31,205,439.91,90181.55,PAID,6.0,
BKG-007403,TRAVIS RUSSELL,leehenry@gmail.com,1009,new york,2025-02-21,2025-04-18,56,204.99,11479.44,PENDING,6.0,False
BKG-007831,ALYSSA HARRISON,nancy83@hurst.biz,1005,San Fran,2023-08-16,2023-10-21,66,463.7,30604.2,PENDING,1.0,
BKG-016120,  Nicholas Tate  ,veronicaortiz@clark-wilson.org,1078,los angeles,2024-08-31,2025-03-11,192,483.94,92916.48,PENDING,1.0,True
BKG-014560,ASHLEY BRYAN,erinreyes@richardson.org,1025,LA,2024-04-27,2024-12-07,224,412.81,92469.44,PENDING,3.0,
BKG-010631,  Daniel Smith  ,annshort@yahoo.com,1040,LA,2025-02-15,2025-03-07,20,243.47,4869.4,PAID,1.0,False
